Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
SolarEdge Technologies Ltd : SE3300x [240V],240,13.323,3251,3340.04,435,-3.40E-06,2.21E-05,0.00297719,0.0018973,5.46,500,7.67825,370,500,10/15/2018,N
SolarEdge Technologies Ltd : SE3800A-US [208V],208,14.3963,3990,4121.27,410,-3.30E-06,4.12E-05,0.0039515,0.00413474,5.1,500,10.0519,320,500,1/21/2020,N
SolarEdge Technologies Ltd : SE3800A-US [240V],240,11.4887,3790,3863.83,400,-1.12E-06,3.46E-05,0.00760528,0.0181518,2.24,480,9.65958,360,480,n/a,Y
SolarEdge Technologies Ltd : SE3800H-US [208V],208,27.5109,3255,3298.76,395,-9.80E-06,-1.96E-06,-0.00599172,-0.00409496,4.12,480,8.3513,360,480,1/21/2020,N
SolarEdge Technologies Ltd : SE3800H-US [240V],240,11.0144,3747,3779.2,395,-1.24E-06,8.38E-06,-0.000985094,0.00142458,1.1241,480,9.56759,360,480,n/a,Y
SolarEdge Technologies Ltd : SE40KUS [480V],480,83.1716,40252,41001.3,850,-2.57E-07,2.06E-05,0.00336804,0.00233795,7.43,950,48.2369,790,950,n/a,N
SolarEdge Technologies Ltd : SE43.2KUS [208V],208,47.2971,14510,15020.2,460,-1.29E-06,2.93E-05,0.000829518,-0.0005639,4.16,600,32.6527,400,600,02/03/2020,N
SolarEdge Technologies Ltd : SE5000H-US [208V],208,12.5062,4979,5042.72,395,-1.10E-06,2.39E-05,0.0036578,0.00800927,4.51,480,12.7664,360,480,1/21/2020,N
SolarEdge Technologies Ltd : SE5000H-US [240V],240,12.7174,5052,5105.68,395,-8.14E-07,2.11E-05,0.00326182,0.00960945,4.52,480,12.9258,360,480,1/21/2020,N
SolarEdge Technologies Ltd : SE5000x [208V],208,8.30709,4980,5157.25,410,-2.52E-06,1.03E-05,-0.00435724,-0.00472301,5.46,500,12.5786,320,500,10/15/2018,N
SolarEdge Technologies Ltd : SE5000x [240V],240,11.9094,4990,5089.74,400,-1.23E-06,2.20E-05,-0.000117458,-0.00612996,2.24,480,12.7243,370,480,10/15/2018,N
SolarEdge Technologies Ltd : SE50KUS [208V],208,41.2948,16564,17165.4,460,-1.02E-06,2.75E-05,0.00385315,0.00129196,5.28,600,37.3162,400,600,n/a,N
SolarEdge Technologies Ltd : SE6000H-US [208V],208,15.9883,5054,5108.01,395,-1.19E-06,2.07E-05,0.00327455,0.00755946,4.52,480,12.9317,360,480,1/21/2020,N
SolarEdge Technologies Ltd : SE6000H-US [240V],240,12.1758,6046,6113.21,395,-6.89E-07,2.37E-05,0.00406114,0.0109657,4.52,480,15.4765,360,480,08/02/2021,Y
SolarEdge Technologies Ltd : SE6000x [208V],208,11.9749,5330,5530.11,410,-3.33E-06,1.02E-05,-0.00316284,-0.00331528,5.22,500,13.4881,320,500,10/15/2018,N
SolarEdge Technologies Ltd : SE6000x [240V],240,13.579,5990,6176.75,435,-2.23E-06,5.42E-06,0.0037044,-0.000186411,3.52,500,14.1994,370,500,10/15/2018,N
SolarEdge Technologies Ltd : SE66.6KUS [480V],480,91.9985,33300,33878.9,850,-3.02E-07,1.75E-05,0.00258759,0.000861337,5.05,950,39.8575,790,950,02/03/2020,N
SolarEdge Technologies Ltd : SE7600A-US [208V],208,19.0597,7560,7781,375,-1.52E-06,3.37E-05,0.00334072,0.00252878,5.75,480,20.7493,325,480,10/15/2018,N
SolarEdge Technologies Ltd : SE7600A-US [240V],240,18.5625,7625,7839.78,400,-2.14E-06,1.79E-05,0.00455904,0.000646974,2.16,480,19.5995,360,480,n/a,Y
SolarEdge Technologies Ltd : SE7600H-US [240V],240,17.4935,7616,7716.67,395,-1.41E-06,3.65E-06,-0.00120299,-0.00321721,4.52,480,19.5359,360,480,n/a,Y
SolarEdge Technologies Ltd : SE80KUS [480V],480,83.1716,40252,41001.3,850,-2.57E-07,2.06E-05,0.00336804,0.00233795,7.43,950,48.2369,790,950,n/a,N
SolarEdge Technologies Ltd : SE9KUS [208V],208,23.8657,8963,9338.22,424,-1.72E-06,2.54E-05,0.00434188,0.00212201,3.08,504,22.0241,384,504,02/03/2020,N
SolarJuice American Inc : S4A-A60 [240V],240,77.7696,5732,6025.25,430,-2.61E-06,-1.16E-05,-0.000183989,-0.00125974,25,500,14.0122,360,500,n/a,N
SolarJuice American Inc : S4A-A70 [240V],240,86.2952,6680,7047.85,390,-5.26E-06,-1.09E-05,0.000700888,-0.00052983,25,500,18.0714,280,500,n/a,N
SolarJuice American Inc : S4A-A76 [240V],240,48.8966,7832,8223.37,375,-2.98E-06,-4.56E-05,-0.00242049,-0.00359598,49.5,430,21.929,320,430,n/a,N
