Date,Hour,Price kWh
20/01/2022,22,0.17589
20/01/2022,23,0.1269
20/01/2022,24,0.09353
21/01/2022,1,0.07576
21/01/2022,2,0.0605
21/01/2022,3,0.056
21/01/2022,4,0.052
21/01/2022,5,0.05
21/01/2022,6,0.04519
21/01/2022,7,0.04519
21/01/2022,8,0.05249
21/01/2022,9,0.05516
21/01/2022,10,0.05516
21/01/2022,11,0.05249
21/01/2022,12,0.05
21/01/2022,13,0.045
21/01/2022,14,0.0448
21/01/2022,15,0.04377
21/01/2022,16,0.03776
21/01/2022,17,0.0448
21/01/2022,18,0.0546
21/01/2022,19,0.07576
21/01/2022,20,0.09301
21/01/2022,21,0.11156
21/01/2022,22,0.09116
21/01/2022,23,0.0672
21/01/2022,24,0.05402
22/01/2022,1,0.03237
22/01/2022,2,0.018
22/01/2022,3,0.02
22/01/2022,4,0.014
22/01/2022,5,0.01384
22/01/2022,6,0.01329
22/01/2022,7,0.011
22/01/2022,8,0.016
22/01/2022,9,0.0301
22/01/2022,10,0.02809
22/01/2022,11,0.018
22/01/2022,12,0.015
22/01/2022,13,0.018
22/01/2022,14,0.02
22/01/2022,15,0.02015
22/01/2022,16,0.018
22/01/2022,17,0.02194
22/01/2022,18,0.03299
22/01/2022,19,0.07172
22/01/2022,20,0.08865
22/01/2022,21,0.12897
22/01/2022,22,0.12451
22/01/2022,23,0.075
22/01/2022,24,0.05516
23/01/2022,1,0.05
23/01/2022,2,0.03958
23/01/2022,3,0.03444
23/01/2022,4,0.03778
23/01/2022,5,0.03778
23/01/2022,6,0.04001
23/01/2022,7,0.05
23/01/2022,8,0.063
23/01/2022,9,0.08865
23/01/2022,10,0.09501
23/01/2022,11,0.063
23/01/2022,12,0.0596
23/01/2022,13,0.05916
23/01/2022,14,0.05916
23/01/2022,15,0.054
23/01/2022,16,0.0538
23/01/2022,17,0.0596
23/01/2022,18,0.065
23/01/2022,19,0.109
23/01/2022,20,0.1564
23/01/2022,21,0.15722
23/01/2022,22,0.1505
23/01/2022,23,0.07859
23/01/2022,24,0.0648
24/01/2022,1,0.063
24/01/2022,2,0.0519
24/01/2022,3,0.04862
24/01/2022,4,0.04785
24/01/2022,5,0.04967
24/01/2022,6,0.0519
24/01/2022,7,0.0603
24/01/2022,8,0.08003
24/01/2022,9,0.095
24/01/2022,10,0.08802
24/01/2022,11,0.065
24/01/2022,12,0.06316
24/01/2022,13,0.064
24/01/2022,14,0.06402
24/01/2022,15,0.064
24/01/2022,16,0.064
24/01/2022,17,0.06402
24/01/2022,18,0.094
24/01/2022,19,0.13817
24/01/2022,20,0.22
24/01/2022,21,0.21808
24/01/2022,22,0.156
24/01/2022,23,0.10301
24/01/2022,24,0.085
25/01/2022,1,0.09886
25/01/2022,2,0.08487
25/01/2022,3,0.07
25/01/2022,4,0.06681
25/01/2022,5,0.06681
25/01/2022,6,0.07001
25/01/2022,7,0.07901
25/01/2022,8,0.09976
25/01/2022,9,0.11122
25/01/2022,10,0.10601
25/01/2022,11,0.08738
25/01/2022,12,0.06681
25/01/2022,13,0.06533
25/01/2022,14,0.065
25/01/2022,15,0.06499
25/01/2022,16,0.0648
25/01/2022,17,0.0648
25/01/2022,18,0.09116
25/01/2022,19,0.11847
25/01/2022,20,0.21034
25/01/2022,21,0.19228
25/01/2022,22,0.11701
25/01/2022,23,0.08865
25/01/2022,24,0.0648
26/01/2022,1,0.07078
26/01/2022,2,0.0606
26/01/2022,3,0.05916
26/01/2022,4,0.059
26/01/2022,5,0.055
26/01/2022,6,0.05916
26/01/2022,7,0.05916
26/01/2022,8,0.06999
26/01/2022,9,0.09487
26/01/2022,10,0.083
26/01/2022,11,0.06681
26/01/2022,12,0.0596
26/01/2022,13,0.059
26/01/2022,14,0.0561
26/01/2022,15,0.0534
26/01/2022,16,0.0531
26/01/2022,17,0.05916
26/01/2022,18,0.07301
26/01/2022,19,0.07792
26/01/2022,20,0.09954
26/01/2022,21,0.09976
26/01/2022,22,0.08
26/01/2022,23,0.05916
26/01/2022,24,0.05027
27/01/2022,1,0.0488
27/01/2022,2,0.048
27/01/2022,3,0.03569
27/01/2022,4,0.03327
27/01/2022,5,0.03
27/01/2022,6,0.03569
27/01/2022,7,0.04528
27/01/2022,8,0.04969
